150,"2020-06-09",7197.60,"","",13
151,"2020-06-09",6468.00,"","",10
152,"2020-06-09",33272.44,"","",15
153,"2020-06-11",3001.80,"","",67
154,"2020-06-11",368690.14,"","",10
155,"2020-06-11",4489.92,"","",10
156,"2020-06-11",11639.75,"","",10
157,"2020-06-11",10578.06,"","",11
158,"2020-06-15",6380.00,"","",71
159,"2020-06-16",95877.10,"","",12
160,"2020-06-16",1140.60,"","",36
161,"2020-06-17",5482.74,"","",7
162,"2020-06-17",453.12,"","",7
163,"2020-06-18",1756.80,"","",78
164,"2020-06-18",66371.17,"","",15
165,"2020-06-18",8899.73,"Gotovinski račun","",79
166,"2020-06-24",25000.00,"","",15
167,"2020-06-26",1915.20,"","",78
168,"2020-06-26",3112.00,"","",26
169,"2020-06-26",14145.38,"","",37
170,"2020-06-26",4728.35,"","",72
171,"2020-06-30",270073.15,"","",10
172,"2020-06-30",323863.20,"","",10
173,"2020-06-30",24078.52,"","",10
174,"2020-06-30",36279.60,"","",10
175,"2020-06-30",64633.78,"","",10
176,"2020-06-30",1859.26,"","",10
177,"2020-06-30",5078.41,"","",81
178,"2020-07-01",20045.00,"","",84
179,"2020-07-01",54433.00,"","",88
180,"2020-07-02",16104.95,"","",22
181,"2020-07-08",15275.00,"","",89
182,"2020-07-06",30000.00,"","",15
183,"2020-07-03",150000.00,"","",5
184,"2020-07-08",294143.46,"","",12
185,"2020-07-16",38432.69,"","",15
186,"2020-07-16",2939.02,"","",82
187,"2020-07-16",2049.02,"","",45
188,"2020-07-17",8173.44,"","",91
189,"2020-07-17",6344.24,"","",10
190,"2020-07-17",11894.41,"","",10
191,"2020-07-17",150000.00,"","",5
192,"2020-07-20",24536.45,"","",15
193,"2020-07-20",594.72,"","",10
194,"2020-07-20",17487.55,"","",10
195,"2020-07-20",4189.94,"","",10
196,"2020-07-23",283199.75,"","",10
197,"2020-07-23",246893.34,"","",10
198,"2020-07-23",8250.00,"","",65
199,"2020-07-23",1218.01,"","",21
200,"2020-07-23",22602.47,"","",10
201,"2020-07-29",1291.39,"","",10
202,"2020-07-24",4797.00,"Gotovinski račun","",95
203,"2020-07-30",1196.64,"","",31
204,"2020-07-30",7163.02,"","",71
205,"2020-07-31",3256.39,"","",93
206,"2020-07-31",8285.00,"","",92
207,"2020-07-31",4200.00,"","",89
208,"2020-07-31",9536.34,"","",87
209,"2020-07-31",1004.83,"","",86
210,"2020-07-31",990.00,"","",63
211,"2020-07-16",50000.00,"","",28
212,"2020-06-12",38821.44,"","",51
213,"2020-03-12",5999.40,"","",29
214,"2020-03-04",1532.16,"","",13
215,"2020-06-29",40762.63,"","",15
216,"2020-08-03",7383.96,"","",51
217,"2020-08-05",88925.18,"","",10
218,"2020-08-05",5754.77,"","",10
219,"2020-08-05",979.20,"","",91
220,"2020-08-05",7800.00,"","",97
221,"2020-08-07",55276.24,"","",15
222,"2020-08-07",44475.71,"","",15
223,"2020-08-07",206232.06,"","",10
224,"2020-08-07",1080.00,"","",19
225,"2020-08-07",264.00,"","",4
226,"2020-08-07",7753.20,"","",10
227,"2020-08-07",3910.20,"","",10
228,"2020-08-07",8241.60,"","",36
229,"2020-08-07",66540.67,"","",7
230,"2020-08-13",4106.39,"","",10
231,"2020-08-13",3542.83,"","",10
232,"2020-08-13",1265.03,"","",10
233,"2020-08-13",10469.08,"","",10
234,"2020-08-13",18293.59,"","",15
235,"2020-08-13",4738.00,"","",98
236,"2020-08-13",7185.06,"","",22
237,"2020-08-13",4440.58,"","",7
238,"2020-08-17",1554.00,"Gotovinski račun","",100
239,"2020-08-17",53992.08,"","",10
240,"2020-08-17",1410.34,"","",10
241,"2020-08-17",3977.60,"Gotovinski račun","",99
242,"2020-08-18",7165.67,"","",7
243,"2020-08-18",3263.63,"","",7
244,"2020-08-18",120000.00,"","",5
245,"2020-08-20",225143.41,"","",10
246,"2020-08-20",1331.04,"","",10
247,"2020-08-20",3510.00,"","",10
248,"2020-08-20",1628.50,"","",42
251,"2020-08-21",1970.40,"","",64
252,"2020-08-21",8997.00,"","",102
253,"2020-08-21",12984.79,"","",10
254,"2020-08-21",2448.55,"","",10
255,"2020-08-20",4230.00,"","",37
257,"2020-08-22",2957.50,"Gotovinski račun","",104
258,"2020-08-24",22340.65,"","",15
259,"2020-08-24",78531.08,"","",15
260,"2020-08-25",1102.78,"","",10
261,"2020-08-24",213188.40,"","",10
262,"2020-08-25",150000.00,"","",5
263,"2020-08-26",8283.60,"","",10
264,"2020-08-26",3960.00,"","",105
265,"2020-08-26",8833.00,"","",95
266,"2020-08-26",5640.64,"","",15
267,"2020-08-26",186893.30,"","",15
268,"2020-08-26",7581.50,"","",31
269,"2020-08-29",7805.00,"","",95
270,"2020-08-31",4644.00,"","",106
271,"2020-08-31",10000.00,"","",15
272,"2020-08-13",1512.58,"","",85
273,"2020-09-01",2853.61,"","",101
274,"2020-09-01",1129.22,"","",39
275,"2020-09-04",23600.00,"","",109
276,"2020-09-07",572.40,"","",63
277,"2020-09-07",990.00,"","",63
278,"2020-09-07",13105.46,"","",89
279,"2020-09-07",1915.91,"","",89
280,"2020-09-07",16425.60,"","",13
281,"2020-09-08",53100.00,"","",115
282,"2020-09-08",19211.21,"","",15
283,"2020-09-09",7765.60,"","",45
284,"2020-09-15",72332.29,"","",15
285,"2020-09-15",4128.20,"","",15
286,"2020-09-15",6575.82,"","",48
287,"2020-09-16",2737.61,"","",33
288,"2020-09-17",246044.16,"","",10
289,"2020-09-17",3077.82,"","",10
290,"2020-09-21",18842.15,"","",37
291,"2020-09-21",11439.84,"","",44
292,"2020-09-21",499.00,"","",10
293,"2020-09-21",71054.88,"","",10
294,"2020-09-21",5237.50,"","",10
295,"2020-09-21",189276.16,"","",10
296,"2020-09-21",1874.88,"","",13
297,"2020-09-21",7557.79,"","",26
298,"2020-09-21",12001.20,"","",94
299,"2020-09-21",40250.00,"","",107
300,"2020-09-21",28729.22,"","",111
301,"2020-09-23",1223.42,"","",7
302,"2020-09-23",5231.98,"","",7
303,"2020-09-23",46134.70,"","",7
304,"2020-09-22",50000.00,"","",28
305,"2020-09-23",254710.08,"","",10
306,"2020-09-24",3600.00,"Gotovinski račun","",119
307,"2020-09-24",3232.08,"","",108
308,"2020-09-24",2201.40,"Gotovinski račun","",121
309,"2020-04-01",482163.36,"Kompenzacija za Bajinu stolariju","",12
310,"2020-09-15",200000.00,"","",12
311,"2020-09-25",1390.76,"Gotovinski račun","",122
312,"2020-09-30",23720.41,"","",15
313,"2020-09-30",9512.92,"","",10
314,"2020-09-30",14267.06,"","",10
315,"2020-09-30",10855.44,"","",71
316,"2020-09-30",2558.98,"","",110
317,"2020-09-30",130000.00,"","",5
318,"2020-10-01",26286.40,"","",2
