11424,"Baničina","2020-01-14 12:36:28","2020-01-14 12:36:28",1
11425,"Kusadak","2020-01-14 12:36:29","2020-01-14 12:36:29",1
11426,"Meljak","2020-01-14 12:36:29","2020-01-14 12:36:29",1
11427,"Vranić","2020-01-14 12:36:29","2020-01-14 12:36:29",1
11430,"Umčari","2020-01-14 12:36:29","2020-01-14 12:36:29",1
11431,"Kolari","2020-01-14 12:36:29","2020-01-14 12:36:29",1
11432,"Drugovac","2020-01-14 12:36:29","2020-01-14 12:36:29",1
11433,"Šepšin","2020-01-14 12:36:29","2020-01-14 12:36:29",1
11450,"Sopot","2020-01-14 12:36:29","2020-01-14 12:36:29",1
11453,"Rogača","2020-01-14 12:36:29","2020-01-14 12:36:29",1
11454,"Sibnica","2020-01-14 12:36:29","2020-01-14 12:36:29",1
11460,"Barajevo","2020-01-14 12:36:29","2020-01-14 12:36:29",1
11461,"Beljina","2020-01-14 12:36:29","2020-01-14 12:36:29",1
11462,"Veliki Borak","2020-01-14 12:36:29","2020-01-14 12:36:29",1
11500,"Obrenovac","2020-01-14 12:36:29","2020-01-14 12:36:29",1
11504,"Barič","2020-01-14 12:36:29","2020-01-14 12:36:29",1
11505,"Zabrežje","2020-01-14 12:36:30","2020-01-14 12:36:30",1
11506,"Draževac","2020-01-14 12:36:30","2020-01-14 12:36:30",1
11507,"Stubline","2020-01-14 12:36:30","2020-01-14 12:36:30",1
11508,"Grabovac","2020-01-14 12:36:30","2020-01-14 12:36:30",1
11509,"Skela","2020-01-14 12:36:30","2020-01-14 12:36:30",1
11550,"Lazarevac","2020-01-14 12:36:30","2020-01-14 12:36:30",1
11560,"Vreoci","2020-01-14 12:36:30","2020-01-14 12:36:30",1
11561,"Dudovica","2020-01-14 12:36:30","2020-01-14 12:36:30",1
11562,"Junkovac","2020-01-14 12:36:31","2020-01-14 12:36:31",1
11563,"Veliki Crljeni","2020-01-14 12:36:31","2020-01-14 12:36:31",1
11564,"Stepojevac","2020-01-14 12:36:31","2020-01-14 12:36:31",1
11565,"Baroševac","2020-01-14 12:36:31","2020-01-14 12:36:31",1
11566,"Rudovci","2020-01-14 12:36:31","2020-01-14 12:36:31",1
11567,"Mirosaljci","2020-01-14 12:36:31","2020-01-14 12:36:31",1
12000,"Požarevac","2020-01-14 12:36:43","2020-01-14 12:36:43",1
12205,"Brežane","2020-01-14 12:36:57","2020-01-14 12:36:57",1
12206,"Bradarac","2020-01-14 12:36:57","2020-01-14 12:36:57",1
12207,"Dubravica","2020-01-14 12:36:57","2020-01-14 12:36:57",1
12208,"Kostolac","2020-01-14 12:36:57","2020-01-14 12:36:57",1
12209,"Kličevac","2020-01-14 12:36:58","2020-01-14 12:36:58",1
12220,"Veliko Gradište","2020-01-14 12:36:58","2020-01-14 12:36:58",1
12221,"Majilovac","2020-01-14 12:36:58","2020-01-14 12:36:58",1
12222,"Braničevo","2020-01-14 12:36:58","2020-01-14 12:36:58",1
12223,"Golubac","2020-01-14 12:36:58","2020-01-14 12:36:58",1
12224,"Dobra","2020-01-14 12:36:58","2020-01-14 12:36:58",1
12225,"Bratinac","2020-01-14 12:36:58","2020-01-14 12:36:58",1
12226,"Topolovnik","2020-01-14 12:36:58","2020-01-14 12:36:58",1
12229,"Vinci","2020-01-14 12:36:58","2020-01-14 12:36:58",1
12230,"Brnjica","2020-01-14 12:36:58","2020-01-14 12:36:58",1
12240,"Kučevo","2020-01-14 12:36:58","2020-01-14 12:36:58",1
12242,"Neresnica","2020-01-14 12:36:58","2020-01-14 12:36:58",1
12253,"Srednjevo","2020-01-14 12:36:58","2020-01-14 12:36:58",1
12254,"Rabrovo","2020-01-14 12:36:59","2020-01-14 12:36:59",1
12255,"Duboka","2020-01-14 12:36:59","2020-01-14 12:36:59",1
