69,"2020-04-09",28800.00,"",30,"2020-04-09 19:04:06","2020-04-09 19:04:06",1
70,"2020-04-09",13250.59,"",34,"2020-04-09 19:05:17","2020-04-09 19:05:17",1
71,"2020-04-09",13716.00,"",52,"2020-04-09 19:07:23","2020-04-09 19:07:23",1
72,"2020-04-10",34244.40,"",49,"2020-04-10 18:00:40","2020-04-10 18:00:40",1
73,"2020-04-14",3687.30,"",22,"2020-04-14 18:09:50","2020-04-14 18:09:50",1
74,"2020-04-14",5382.00,"",26,"2020-04-14 18:11:51","2020-04-14 18:11:51",1
75,"2020-04-15",8065.56,"",7,"2020-04-15 13:09:52","2020-04-15 13:09:52",1
76,"2020-04-15",300000.00,"",51,"2020-04-15 13:38:46","2020-04-15 13:38:46",1
77,"2020-04-18",3240.00,"",19,"2020-04-18 10:40:26","2020-04-18 10:40:26",1
78,"2020-04-18",11870.40,"",31,"2020-04-18 11:24:56","2020-04-18 11:24:56",1
79,"2020-04-18",25597.91,"",11,"2020-04-18 11:31:22","2020-04-18 11:31:22",1
80,"2020-04-21",1941.30,"",10,"2020-04-21 15:40:29","2020-04-21 15:40:29",1
81,"2020-04-21",80000.00,"",15,"2020-04-21 15:43:38","2020-04-21 15:43:38",1
82,"2020-04-24",100000.00,"",5,"2020-04-25 17:54:21","2020-04-25 17:54:21",1
83,"2020-04-23",11000.00,"",37,"2020-04-25 17:58:17","2020-04-25 17:58:17",1
84,"2020-04-25",6350.40,"",50,"2020-04-25 18:00:00","2020-04-25 18:00:00",1
85,"2020-03-10",10000.00,"",37,"2020-04-29 06:42:35","2020-04-29 06:42:35",1
86,"2020-04-30",1170.42,"",53,"2020-04-30 08:36:54","2020-04-30 08:36:54",1
87,"2020-04-30",4072.20,"",54,"2020-04-30 08:37:14","2020-04-30 08:37:14",1
88,"2020-04-30",5925.97,"",44,"2020-04-30 08:37:31","2020-04-30 08:37:31",1
89,"2020-05-05",172373.82,"",10,"2020-05-05 17:24:33","2020-05-05 17:24:33",1
90,"2020-05-05",21879.92,"",10,"2020-05-05 17:24:53","2020-05-05 17:24:53",1
91,"2020-05-11",1216.80,"",55,"2020-05-11 10:14:25","2020-05-11 10:14:25",1
92,"2020-05-08",100000.00,"",15,"2020-05-11 10:16:09","2020-05-11 10:16:09",1
93,"2020-05-11",282038.88,"",10,"2020-05-11 17:50:25","2020-05-11 17:50:25",1
94,"2020-05-06",157720.00,"",12,"2020-05-11 17:52:04","2020-05-11 17:52:04",1
95,"2020-05-07",8525.64,"",39,"2020-05-11 17:52:51","2020-05-11 17:52:51",1
96,"2020-05-06",4712.45,"",7,"2020-05-11 17:53:53","2020-05-11 17:53:53",1
97,"2020-05-06",15211.38,"",7,"2020-05-11 17:55:19","2020-05-11 17:55:19",1
98,"2020-05-06",10546.37,"",7,"2020-05-11 17:56:03","2020-05-11 17:56:03",1
99,"2020-05-13",24947.82,"Gotovinski račun",1,"2020-05-13 15:02:02","2020-05-13 15:02:02",1
100,"2020-05-18",3455.04,"",10,"2020-05-18 19:00:39","2020-05-18 19:00:39",1
101,"2020-05-18",203135.21,"",10,"2020-05-18 19:01:05","2020-05-18 19:01:05",1
102,"2020-05-18",154006.91,"",10,"2020-05-18 19:02:12","2020-05-18 19:02:12",1
103,"2020-05-18",369881.04,"",10,"2020-05-18 19:02:29","2020-05-18 19:02:29",1
104,"2020-05-18",24627.17,"",10,"2020-05-18 19:02:53","2020-05-18 19:02:53",1
105,"2020-05-13",186992.20,"",51,"2020-05-18 19:03:58","2020-05-18 19:03:58",1
106,"2020-05-18",3084.48,"",2,"2020-05-18 19:05:15","2020-05-18 19:05:15",1
107,"2020-05-18",11604.96,"",2,"2020-05-18 19:05:29","2020-05-18 19:05:29",1
108,"2020-05-15",25000.00,"",2,"2020-05-18 19:06:04","2020-05-18 19:06:04",1
109,"2020-05-18",92040.00,"",60,"2020-05-18 19:06:31","2020-05-18 19:06:31",1
110,"2020-05-18",35478.16,"",15,"2020-05-18 19:09:41","2020-05-18 19:09:41",1
111,"2020-05-18",2510.76,"",13,"2020-05-18 19:10:21","2020-05-18 19:10:21",1
112,"2020-05-19",653.40,"",10,"2020-05-19 19:05:38","2020-05-19 19:05:38",1
