30,"Termoizolaciono staklo Flot 4mm+L+Flot 4mm.","m2",2.8500000000,3923.1000000000,11180.8400000000,20.00,2236.17,13417.01,15,"2020-01-17 08:04:51","2020-01-17 08:04:51",1
32,"Ram serije 15.","m2",13.1600000000,1375.0000000000,18095.0000000000,20.00,3619.00,21714.00,17,"2020-01-18 11:46:54","2020-01-18 11:46:54",1
33,"Ogledalo 4mm","m2",1.2300000000,2700.0000000000,3321.0000000000,20.00,664.20,3985.20,17,"2020-01-18 11:46:54","2020-01-18 11:46:54",1
34,"Ram serije 09.","m2",1.1800000000,491.6500000000,580.1500000000,20.00,116.03,696.18,18,"2020-01-18 11:48:18","2020-01-18 11:48:18",1
35,"Staklo 2mm ugrađeno u ram.","m2",0.1000000000,1100.0000000000,110.0000000000,20.00,22.00,132.00,18,"2020-01-18 11:48:18","2020-01-18 11:48:18",1
36,"Staklo flot 3mm.","m2",1.6600000000,991.6600000000,1646.1600000000,20.00,329.23,1975.39,19,"2020-01-20 18:08:02","2020-01-20 18:08:02",4
37,"Troslojno termoizolaciono staklo Flot 4mm+L+Satinirano 4mm+L+Flot 4mm","m2",0.9800000000,4720.0000000000,4625.6000000000,20.00,925.12,5550.72,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
38,"Termoizolaciono staklo Solar 4mm+L+Flot 4mm","m2",22.6200000000,2478.0000000000,56052.3600000000,20.00,11210.47,67262.83,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
39,"Termoizolaciono staklo Grizl 4mm+L+Flot 4mm.","m2",1.0200000000,2242.0000000000,2286.8400000000,20.00,457.37,2744.21,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
40,"Troslojno termoizolaciono staklo Flot 4mm+L+Flot 4mm+L+Solar 4mm.","m2",7.7900000000,3540.0000000000,27576.6000000000,20.00,5515.32,33091.92,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
41,"Termoizolaciono staklo Flot 4mm+L+Satinirano 4mm","m2",0.6500000000,3081.0000000000,2002.6500000000,20.00,400.53,2403.18,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
42,"Troslojno termoizolaciono staklo Solar 4mm+L+Flot 4mm+L+Elow 4mm.","m2",5.9000000000,3894.0000000000,22974.6000000000,20.00,4594.92,27569.52,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
43,"Troslojno termoizolaciono staklo Flot 4mm+L+Flot 4mm+L+Elow 4mm.","m2",1.7500000000,3422.0000000000,5988.5000000000,20.00,1197.70,7186.20,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
44,"Troslojno termoizolaciono staklo Flot 4mm+L+Satinirano 4mm+L+Flot 4mm.","m2",0.5600000000,4720.0000000000,2643.2000000000,20.00,528.64,3171.84,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
45,"Termoizolaciono staklo Flot 4mm+L+Flot 4mm.","m2",6.4300000000,1888.0000000000,12139.8400000000,20.00,2427.97,14567.81,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
46,"Termoizolaciono staklo Flot 4mm+L+Flot 4mm+L+Flot 4mm.","m2",1.4200000000,3186.0000000000,4524.1200000000,20.00,904.82,5428.94,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
47,"Termoizolaciono staklo Flot 4mm+L+Flot 4mm.","m2",7.2000000000,1888.0000000000,13593.6000000000,20.00,2718.72,16312.32,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
48,"Termoizolaciono staklo Flot 4mm+L+Griz 4mm.","m2",0.2000000000,2242.0000000000,448.4000000000,20.00,89.68,538.08,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
49,"Termoizolaciono staklo Flot 4mm+L+Stopsol bronza 4mm.","m2",1.4700000000,4248.0000000000,6244.5600000000,20.00,1248.91,7493.47,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
50,"Bele ukrasne lajsne.","m",14.6700000000,590.0000000000,8655.3000000000,20.00,1731.06,10386.36,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
51,"Usluga Peskarenja stakla sa motivom.","m2",1.3300000000,2000.0000000000,2660.0000000000,20.00,532.00,3192.00,20,"2020-01-21 10:19:24","2020-01-21 10:19:24",1
52,"Ogledalo 3mm KP, dimenzije 2466x781mm 1 komad.","m2",2.0200000000,1180.0000000000,2383.6000000000,20.00,476.72,2860.32,21,"2020-01-21 18:00:18","2020-01-21 18:00:18",1
53,"Satinirano staklo 4mm, dimenzije 804x388mm 1 komad.","m2",0.3200000000,1652.0300000000,528.6500000000,20.00,105.73,634.38,21,"2020-01-21 18:00:18","2020-01-21 18:00:18",1
54,"Satinirano staklo 4mm, dimenzije 963x314mm 1 komad.","m2",0.3300000000,1651.9700000000,545.1500000000,20.00,109.03,654.18,21,"2020-01-21 18:00:18","2020-01-21 18:00:18",1
55,"Staklo flot 4mm KP, dimenzije 722x293mm 1 komad.","m2",0.2300000000,850.8700000000,195.7000000000,20.00,39.14,234.84,21,"2020-01-21 18:00:18","2020-01-21 18:00:18",1
56,"Usluga bušenja rupa na staklu prečnika 7mm.","kom",3.0000000000,29.5000000000,88.5000000000,20.00,17.70,106.20,21,"2020-01-21 18:00:18","2020-01-21 18:00:18",1
57,"Ogledalo 4mm KP, dimenzije 1414x257mm 210 komada.","m2",81.9000000000,1387.6800000000,113650.9900000000,20.00,22730.20,136381.19,22,"2020-01-21 18:19:28","2020-01-21 18:19:28",1
58,"Ogledalo 3mm sa Fazetom do 10mm, dimenzije 750x360mm 10 komada.","m2",2.7000000000,1310.9800000000,3539.6500000000,20.00,707.93,4247.58,22,"2020-01-21 18:19:28","2020-01-21 18:19:28",1
59,"Staklo flot 4mm KP sa bušenjem 6 rupa po staklu prečnika 7mm, dimenzije 341x454mm 10 komada.","m2",1.6000000000,1954.0900000000,3126.5500000000,20.00,625.31,3751.86,22,"2020-01-21 18:19:28","2020-01-21 18:19:28",1
60,"Staklo parsol bronza KP, bušenje rupa 4xfi7mm po staklu, dimenzije 480x400mm 20 komada.","m2",3.8000000000,2111.0300000000,8021.9000000000,20.00,1604.38,9626.28,22,"2020-01-21 18:19:28","2020-01-21 18:19:28",1
61,"Pampleks staklo 3.3.1mm","m2",0.6600000000,4600.0000000000,3036.0000000000,20.00,607.20,3643.20,23,"2020-01-22 08:11:11","2020-01-22 08:11:11",3
62,"Staklo 3mm.","m2",0.4200000000,991.6700000000,416.5000000000,20.00,83.30,499.80,24,"2020-01-23 09:14:06","2020-01-23 09:14:06",1
63,"Staklo flot 4mm, reparacija.","m2",1.3800000000,2287.7400000000,3157.0800000000,20.00,631.42,3788.50,25,"2020-01-23 09:26:32","2020-01-23 09:26:32",1
64,"Ogledalo 4mm KP, dimenzije 775x789mm 100 komada.","m2",63.0000000000,1416.0000000000,89208.0000000000,20.00,17841.60,107049.60,26,"2020-01-23 16:47:28","2020-01-23 16:47:28",1
65,"Satinirano staklo 4mm KP, sa bušenjem 6 rupa po staklu prečnika 7mm, dimenzije 397x493mm 100 komada.","m2",21.0000000000,2494.5200000000,52384.9000000000,20.00,10476.98,62861.88,26,"2020-01-23 16:47:28","2020-01-23 16:47:28",1
66,"Staklo flot 4mm KP sa bušenjem 6 rupa po staklu prečnika 7mm, dimenzije 341x454mm 100 komada.","m2",17.0000000000,1839.6200000000,31273.5400000000,20.00,6254.71,37528.25,26,"2020-01-23 16:47:28","2020-01-23 16:47:28",1
67,"Ogledalo 3mm sa Fazetom do 10mm, dimenzije 750x360mm 153 komada.","m2",41.3100000000,1310.9800000000,54156.5800000000,20.00,10831.32,64987.90,26,"2020-01-23 16:47:28","2020-01-23 16:47:28",1
68,"Staklo parsol bronza KP, bušenje rupa 4xfi7mm po staklu, dimenzije 480x400mm 200 komada.","m2",38.0000000000,2111.0200000000,80218.7600000000,20.00,16043.75,96262.51,26,"2020-01-23 16:47:28","2020-01-23 16:47:28",1
69,"Staklo flot 4mm KP, dimenzije 315x535mm 200 komada.","m2",34.0400000000,850.7800000000,28960.5500000000,20.00,5792.11,34752.66,27,"2020-01-23 16:57:17","2020-01-23 17:00:35",1
70,"Staklo flot 4mm KP, bušenje 2 rupe po staklu prečnika 7mm, dimenzije 410x540mm 200 komada.","m2",44.6600000000,1115.0000000000,49795.9000000000,20.00,9959.18,59755.08,27,"2020-01-23 16:57:17","2020-01-23 17:00:35",1
71,"Staklo flot 4mm KP, bušenje 5 rupa po staklu prečnika 7mm, dimenzije 656x220mm 100 komada.","m2",15.0000000000,1834.1100000000,27511.6500000000,20.00,5502.33,33013.98,27,"2020-01-23 16:57:17","2020-01-23 17:00:35",1
72,"Staklo flot 4mm KP, bušenje 6 rupa po staklu prečnika 7mm, dimenzije 1424x220mm 100 komada.","m2",32.0000000000,1405.0000000000,44960.0000000000,20.00,8992.00,53952.00,27,"2020-01-23 16:57:17","2020-01-23 17:00:35",1
73,"Ogledalo 4mm KP, dimenzije 492x1025mm 200 komada.","m2",102.0000000000,1416.0000000000,144432.0000000000,20.00,28886.40,173318.40,27,"2020-01-23 16:57:17","2020-01-23 17:00:35",1
74,"Usluga prekrajanja kupčevog ogledala i izrada fazete do 10mm, dimenzije 750x360mm 80 komada.","m",177.6000000000,70.8000000000,12574.1000000000,20.00,2514.82,15088.92,27,"2020-01-23 16:57:17","2020-01-23 17:00:35",1
75,"Staklo flot 4mm.","m2",0.9400000000,1000.0000000000,940.0000000000,20.00,188.00,1128.00,28,"2020-01-24 18:00:09","2020-01-24 18:00:09",1
76,"Usluga Peskarenja stakla sa motivom i zaštitnom emulzijom.","m2",0.9400000000,1887.9800000000,1774.7000000000,20.00,354.94,2129.64,28,"2020-01-24 18:00:09","2020-01-24 18:00:09",1
77,"Ogledalo 3mm sa fazetom 10mm.","m2",0.3100000000,3958.0600000000,1227.0000000000,20.00,245.40,1472.40,29,"2020-01-24 18:19:48","2020-01-24 18:19:48",1
78,"Termoizolaciono staklo Griz 4mm+L+Elow 4mm.","m2",11.6000000000,2478.0000000000,28744.8000000000,20.00,5748.96,34493.76,30,"2020-01-27 14:47:13","2020-01-27 14:47:13",1
79,"Troslojno termoizolaciono staklo Elow 4mm+L+Griz 4mm+Solar 4mm.","m2",0.6000000000,4248.0000000000,2548.8000000000,20.00,509.76,3058.56,30,"2020-01-27 14:47:13","2020-01-27 14:47:13",1
80,"Troslojno termoizolaciono staklo Elow 4mm+L+Flot 4mm+L+Solar 4mm.","m2",12.6200000000,3894.0000000000,49142.2800000000,20.00,9828.46,58970.74,30,"2020-01-27 14:47:13","2020-01-27 14:47:13",1
81,"Armirano staklo 6mm.","m2",1.1500000000,5980.0000000000,6877.0000000000,20.00,1375.40,8252.40,31,"2020-01-27 17:31:27","2020-01-27 17:31:27",1
82,"Ogledalo 4mm KP, dimenzije 1598x318mm 300 komada.","m2",156.0000000000,1416.0000000000,220896.0000000000,20.00,44179.20,265075.20,32,"2020-01-29 10:45:27","2020-01-29 10:45:27",1
83,"Ogledalo 3mm, Fazeta 10mm, dimenzije 750x360mm 10 komada.","m2",2.7000000000,1310.9800000000,3539.6500000000,20.00,707.93,4247.58,32,"2020-01-29 10:45:27","2020-01-29 10:45:27",1
84,"Staklo flot 4mm KP, bušenje 6 rupa po staklu fi 7mm, dimenzije 341x454mm 2 komada.","m2",0.3200000000,1954.0900000000,625.3100000000,20.00,125.06,750.37,32,"2020-01-29 10:45:27","2020-01-29 10:45:27",1
85,"Staklo flot 6mm KP, dimenzije 715x397mm 15 komada.","m2",4.5400000000,1416.0000000000,6428.6400000000,20.00,1285.73,7714.37,33,"2020-01-29 10:49:42","2020-01-29 10:49:42",1
86,"Ogledalo 3mm, Fazeta 10mm, dimenzije 500x900mm 1 komad.","m2",0.4700000000,1310.9600000000,616.1500000000,20.00,123.23,739.38,33,"2020-01-29 10:49:42","2020-01-29 10:49:42",1
87,"Usluga bušenja rupa na staklu prečnika 7mm.","kom",30.0000000000,29.5000000000,885.0000000000,20.00,177.00,1062.00,33,"2020-01-29 10:49:42","2020-01-29 10:49:42",1
88,"Usluga bušenja rupa na staklu prečnika 26mm.","kom",30.0000000000,59.0000000000,1770.0000000000,20.00,354.00,2124.00,33,"2020-01-29 10:49:42","2020-01-29 10:49:42",1
89,"Uramljivanje u ram serije 02.","m",4.6200000000,408.3300000000,1886.5000000000,20.00,377.30,2263.80,34,"2020-01-29 17:13:52","2020-01-29 17:13:52",1
90,"Staklo 2mm ugrađeno u ram.","m2",0.4500000000,1100.0000000000,495.0000000000,20.00,99.00,594.00,34,"2020-01-29 17:13:52","2020-01-29 17:13:52",1
91,"Staklo Griz 4mm rezano na meru.","m2",2.1500000000,1325.0000000000,2848.7500000000,20.00,569.75,3418.50,35,"2020-01-29 17:28:04","2020-01-29 17:28:04",1
93,"Usluga izrade fazete do 10mm na staklu.","m",25.5200000000,120.0000000000,3062.4000000000,20.00,612.48,3674.88,37,"2020-01-30 10:15:59","2020-01-30 10:15:59",1
94,"Usluga izrade fazete do 30mm na staklu.","m",0.5000000000,300.0000000000,150.0000000000,20.00,30.00,180.00,37,"2020-01-30 10:15:59","2020-01-30 10:15:59",1
95,"Usluga KP obrade na nepravilnim oblicima stakla.","m",3.2000000000,142.4400000000,455.8100000000,20.00,91.16,546.97,37,"2020-01-30 10:15:59","2020-01-30 10:15:59",1
96,"Usluga izrade fazete do 10mm na staklu.","m",33.6000000000,120.0000000000,4032.0000000000,20.00,806.40,4838.40,37,"2020-01-30 10:15:59","2020-01-30 10:15:59",1
97,"Usluga izrade fazete do 20mm na staklu.","m",4.0000000000,180.0000000000,720.0000000000,20.00,144.00,864.00,37,"2020-01-30 10:15:59","2020-01-30 10:15:59",1
98,"Usluga KP obrade na nepravilnim oblicima stakla.","m",2.8000000000,142.4400000000,398.8300000000,20.00,79.77,478.60,37,"2020-01-30 10:15:59","2020-01-30 10:15:59",1
99,"Ogledalo 4mm KP, dimenzije 492x775mm 200 komada.","m2",80.0000000000,1416.0000000000,113280.0000000000,20.00,22656.00,135936.00,38,"2020-01-30 12:45:22","2020-01-30 12:46:34",1
100,"Ogledalo 3mm sa fazetom 10mm, dimenzije 830x310mm 200 komada.","m2",52.0000000000,1315.0000000000,68380.0000000000,20.00,13676.00,82056.00,38,"2020-01-30 12:45:22","2020-01-30 12:46:34",1
101,"Staklo flot 4mm KP, bušenje 6 rupa po staklu prečnika 7mm, dimenzije 820x377mm 200 komada.","m2",62.0000000000,1423.0000000000,88226.0000000000,20.00,17645.20,105871.20,38,"2020-01-30 12:45:22","2020-01-30 12:46:34",1
102,"Pampleks staklo 3.3.1mm","m2",0.4400000000,3833.3400000000,1686.6700000000,20.00,337.33,2024.00,39,"2020-01-31 08:32:32","2020-01-31 08:32:32",1
103,"Staklo flot 4mm KP, dimenzije 336x315mm 400 komada.","m2",44.0000000000,1072.6200000000,47195.2800000000,20.00,9439.06,56634.34,40,"2020-01-31 08:37:06","2020-01-31 08:48:37",1
104,"Ogledalo 4mm sa Fazetom 10mm, dimenzije 1160x710mm 20 komada.","m2",16.8000000000,1699.0000000000,28543.2000000000,20.00,5708.64,34251.84,41,"2020-01-31 08:45:46","2020-01-31 08:45:46",1
105,"Satinirano staklo 4mm KP, dimenzije 513x242mm 1 komad.","m2",0.1500000000,1652.0000000000,247.8000000000,20.00,49.56,297.36,41,"2020-01-31 08:45:46","2020-01-31 08:45:46",1
106,"Satinirano staklo 4mm, dimenzije 964x380mm 1 komad.","m2",0.3900000000,1652.0500000000,644.3000000000,20.00,128.86,773.16,41,"2020-01-31 08:45:46","2020-01-31 08:45:46",1
107,"Staklo 6mm KP, Peskareno, dimenzije 426x527mm 1 komad.","m2",0.2400000000,2242.0800000000,538.1000000000,20.00,107.62,645.72,41,"2020-01-31 08:45:46","2020-01-31 08:45:46",1
108,"Usluga bušenja rupa na staklu prečnika 7mm.","kom",4.0000000000,29.5000000000,118.0000000000,20.00,23.60,141.60,41,"2020-01-31 08:45:46","2020-01-31 08:45:46",1
109,"Usluga bušenja rupa na staklu prečnika 35mm.","m2",2.0000000000,70.8000000000,141.6000000000,20.00,28.32,169.92,41,"2020-01-31 08:45:46","2020-01-31 08:45:46",1
110,"Ogledalo 3mm sa Fazetom do 10mm, dimenzije 750x360mm 10 komada.","m2",2.7000000000,1310.9800000000,3539.6500000000,20.00,707.93,4247.58,40,"2020-01-31 08:48:37","2020-01-31 08:48:37",1
