282,"Staklo Flot 4mm KP.","M2",1.6700000000,850.7800000000,1420.80,20.00,284.16,1704.96,119
283,"Satinirano staklo 4mm KP.","M2",0.1200000000,1652.0000000000,198.24,20.00,39.65,237.89,119
284,"Ogledalo 4mm sa fazetom do 10mm.","M2",10.8000000000,1699.2000000000,18351.36,20.00,3670.27,22021.63,119
285,"Termoizolaciono staklo Flot 4mm+12+Flot 4mm.","M2",2.1600000000,1888.0000000000,4078.08,20.00,815.62,4893.70,120
286,"Termoizolaciono staklo Solar 4mm+L+Flot 4mm","M2",24.8600000000,2478.0000000000,61603.08,20.00,12320.62,73923.70,121
287,"Uramljivanje u ram serije 06.","M",6.0200000000,491.6700000000,2959.85,20.00,591.97,3551.82,122
288,"Antirefleks staklo 2mm ugrađeno u ramove.","M2",1.0000000000,2520.0000000000,2520.00,20.00,504.00,3024.00,122
289,"Ogledalo 3mm KP, dimenzije 904x650mm 4 komada.","M2",2.4400000000,1180.0000000000,2879.20,20.00,575.84,3455.04,123
290,"Pampleks staklo 3.3.1mm.","M2",4.4300000000,5900.0000000000,26137.00,20.00,5227.40,31364.40,124
291,"Vađenje ureza na pampleks staklu, dimenzije 950x80mm.","PCS",2.0000000000,1200.0000000000,2400.00,20.00,480.00,2880.00,124
292,"Staklo flot 4mm KP, dimenzije 315x535mm 100 komada.","M2",17.0000000000,850.7800000000,14463.26,20.00,2892.65,17355.91,125
293,"Staklo flot 4mm KP sa bušenjem 2 rupe po staklu prečnika 7mm, dimenzije 410x540mm 100 komada.","M2",22.3000000000,1116.5200000000,24898.40,20.00,4979.68,29878.08,125
294,"Staklo flot 4mm KP sa bušenjem 6 rupa po staklu prečnika 7mm, dimenzije 820x377mm 100 komada.","M2",31.2000000000,1418.2400000000,44249.10,20.00,8849.82,53098.92,125
295,"Staklo flot 4mm KP, dimenzije 336x315mm 200 komada.","M2",21.4000000000,1102.8300000000,23600.55,20.00,4720.11,28320.66,125
296,"Staklo flot 4mm KP sa bušenjem 6 rupa po staklu prečnika 7mm, dimenzije 341x454mm 200 komada.","M2",31.2000000000,1989.3600000000,62068.03,20.00,12413.61,74481.64,125
297,"Ogledalo 3mm sa Fazetom do 10mm, dimenzije 750x360mm 200 komada.","M2",54.0000000000,1310.9800000000,70792.90,20.00,14158.58,84951.48,126
298,"Ogledalo 3mm sa fazetom 10mm, dimenzije 830x310mm 200 komada.","M2",52.0000000000,1315.7000000000,68416.40,20.00,13683.28,82099.68,126
299,"Ogledalo 4mm KP, dimenzije 1957x392mm 50 komada.","M2",38.5000000000,1416.0000000000,54516.00,20.00,10903.20,65419.20,126
300,"Staklo flot 4mm KP, dimenzije 655x460mm 2 komada.","M2",0.6400000000,850.7800000000,544.50,20.00,108.90,653.40,127
301,"Troslojno termoizolaciono staklo Flot 4mm+L+Flot 4mm+L+Solar 4mm.","M2",4.0000000000,3894.0000000000,15576.00,20.00,3115.20,18691.20,128
302,"Termoizolaciono staklo Elow 4mm+L+Flot 4mm.","M2",5.1400000000,2124.0000000000,10917.36,20.00,2183.47,13100.83,128
303,"Termoizolaciono staklo Katedral 4mm+L+Elow 4mm.","M2",0.6000000000,2478.0000000000,1486.80,20.00,297.36,1784.16,128
304,"Termoizolaciono staklo Elow 4mm+L+Flot 4mm.","M2",1.5100000000,2124.0000000000,3207.24,20.00,641.45,3848.69,128
305,"Termoizolaciono staklo Delta 4mm+L+Flot 4mm.","M2",0.3000000000,2242.0000000000,672.60,20.00,134.52,807.12,129
306,"Termoizolaciono staklo Flot 4mm+L+Flot 4mm.","M2",1.4800000000,1888.0100000000,2794.25,20.00,558.85,3353.10,129
307,"Bele ukrasne lajsne.","M2",1.3400000000,590.0000000000,790.60,20.00,158.12,948.72,129
308,"Troslojno termoizolaciono staklo Solar 4mm+16+Flot 4mm+16+Elow 4mm.","M2",5.8800000000,3894.0000000000,22896.72,20.00,4579.34,27476.06,130
309,"Ogledalo 3mm rezano na meru.","M2",2.2100000000,1541.6700000000,3407.09,20.00,681.42,4088.51,131
310,"Staklo Griz 4mm rezano na meru.","M2",0.7700000000,1541.6800000000,1187.09,20.00,237.42,1424.51,131
311,"ST 4 MM REPARACIJA.","M2",0.7300000000,3136.7300000000,2289.81,20.00,457.96,2747.77,132
312,"Staklo Flot 4mm peskareno sa motivom.","M2",0.7500000000,2666.6700000000,2000.00,20.00,400.00,2400.00,131
313,"Ogledalo 4mm KP, dimenzije 1414x257mm 250 komada.","M2",90.0000000000,1425.4400000000,128289.60,20.00,25657.92,153947.52,133
314,"Ogledalo 3mm sa Fazetom do 10mm, dimenzije 750x360mm 100 komada.","M2",27.0000000000,1310.9800000000,35396.45,20.00,7079.29,42475.74,133
315,"Ogledalo 3mm sa Fazetom do 10mm, dimenzije 310x830mm 6 komada.","M2",1.5600000000,1315.7100000000,2052.50,20.00,410.50,2463.00,133
316,"Ogledalo 4mm KP, dimenzije 1553x293mm 5 komada.","M2",2.3000000000,1416.0000000000,3256.80,20.00,651.36,3908.16,133
317,"Ogledalo 4mm KP, dimenzije 979x792mm 50 komada.","M2",39.0000000000,1416.0000000000,55224.00,20.00,11044.80,66268.80,133
318,"Pampleks staklo 3.3.1mm","M2",0.3700000000,3833.3200000000,1418.33,20.00,283.67,1702.00,134
319,"Staklo Griz 4mm rezano na meru.","M2",0.7700000000,1541.6800000000,1187.09,20.00,237.42,1424.51,135
320,"Staklo flot 4mm.","M2",4.4100000000,1200.0000000000,5292.00,20.00,1058.40,6350.40,136
321,"Ogledalo Bronza 4mm.","M2",58.6800000000,5400.0000000000,316872.00,20.00,63374.40,380246.40,137
322,"Usluga izrade fazete do 15mm na ogledalu.","M",426.9900000000,208.3300000000,88954.83,20.00,17790.97,106745.80,137
323,"Staklo 8mm KP, Kaljeno, dimenzije 1950x800mm 1 komad.","M2",1.6000000000,5210.0000000000,8336.00,20.00,1667.20,10003.20,138
324,"Zamena polupanog stakla debljine 4mm, dimenzije 870x650mm 2 komada.","M2",1.1900000000,2600.0000000000,3094.00,20.00,618.80,3712.80,138
325,"ST 4 MM PESKARENO","M2",0.2100000000,1945.0000000000,408.45,20.00,81.69,490.14,139
326,"Ogledalo 3mm KP, prečnik 1300mm 1 komad.","M2",1.8200000000,1880.0000000000,3421.60,20.00,684.32,4105.92,139
327,"Ogledalo 3mm sa fazetom do 10mm.","M2",2.8000000000,1925.6700000000,5391.88,20.00,1078.38,6470.26,139
328,"Ogledalo 4mm KP.","M2",0.8300000000,2340.4800000000,1942.60,20.00,388.52,2331.12,139
329,"Blind ramovi sa platnom, dimenzije 150x150mm.","PCS",3.0000000000,133.3300000000,399.99,20.00,80.00,479.99,139
330,"Blind ramovi sa platnom, dimenzije 200x250mm.","PCS",2.0000000000,158.3300000000,316.66,20.00,63.33,379.99,139
331,"Blind ramovi sa platnom, dimenzije 400x400mm.","PCS",1.0000000000,291.6700000000,291.67,20.00,58.33,350.00,139
332,"Blind ramovi sa platnom, dimenzije 450x700mm.","PCS",2.0000000000,458.3300000000,916.66,20.00,183.33,1099.99,139
333,"Ogledalo 3mm KP+FAZETA 10MM.","M2",2.5100000000,1801.6400000000,4522.12,20.00,904.42,5426.54,139
